ssd,subject,violation,study
250.0,1020,32.07692307692308,FixedSSDs2
300.0,1020,-130.0,FixedSSDs2
350.0,1020,-2.375,FixedSSDs2
400.0,1020,10.807692307692307,FixedSSDs2
450.0,1020,-14.441176470588234,FixedSSDs2
500.0,1020,-17.0,FixedSSDs2
0.0,1021,31.5,FixedSSDs2
50.0,1021,-296.0,FixedSSDs2
100.0,1021,,FixedSSDs2
150.0,1021,-215.5,FixedSSDs2
200.0,1021,-75.5,FixedSSDs2
250.0,1021,-59.411764705882355,FixedSSDs2
300.0,1021,-47.63636363636363,FixedSSDs2
350.0,1021,-45.92857142857143,FixedSSDs2
400.0,1021,-30.91666666666667,FixedSSDs2
450.0,1021,-9.083333333333334,FixedSSDs2
500.0,1021,21.47058823529412,FixedSSDs2
0.0,1022,92.42857142857143,FixedSSDs2
50.0,1022,-28.41666666666667,FixedSSDs2
100.0,1022,-43.64285714285715,FixedSSDs2
150.0,1022,-113.63157894736842,FixedSSDs2
200.0,1022,-89.0,FixedSSDs2
250.0,1022,-146.9047619047619,FixedSSDs2
300.0,1022,-84.48,FixedSSDs2
350.0,1022,-133.42857142857142,FixedSSDs2
400.0,1022,-47.2,FixedSSDs2
450.0,1022,-61.5,FixedSSDs2
500.0,1022,27.542857142857148,FixedSSDs2
0.0,1023,136.0,FixedSSDs2
50.0,1023,,FixedSSDs2
100.0,1023,,FixedSSDs2
150.0,1023,130.66666666666666,FixedSSDs2
200.0,1023,-72.0,FixedSSDs2
250.0,1023,-69.58333333333333,FixedSSDs2
300.0,1023,-28.0,FixedSSDs2
350.0,1023,-24.21875,FixedSSDs2
400.0,1023,-22.0,FixedSSDs2
450.0,1023,-22.105263157894736,FixedSSDs2
500.0,1023,-36.65625,FixedSSDs2
0.0,1024,99.42857142857143,FixedSSDs2
50.0,1024,37.153846153846146,FixedSSDs2
100.0,1024,165.625,FixedSSDs2
150.0,1024,109.2,FixedSSDs2
200.0,1024,-132.0,FixedSSDs2
250.0,1024,-32.43478260869565,FixedSSDs2
300.0,1024,-8.16,FixedSSDs2
350.0,1024,-2.066666666666667,FixedSSDs2
400.0,1024,-32.375,FixedSSDs2
450.0,1024,23.676470588235286,FixedSSDs2
500.0,1024,-20.222222222222218,FixedSSDs2
0.0,2001,-38.75,Deadline1300ms
50.0,2001,,Deadline1300ms
100.0,2001,,Deadline1300ms
150.0,2001,,Deadline1300ms
200.0,2001,,Deadline1300ms
0.0,2002,58.33333333333334,Deadline1300ms
50.0,2002,3.555555555555556,Deadline1300ms
100.0,2002,-46.0,Deadline1300ms
150.0,2002,-36.333333333333336,Deadline1300ms
200.0,2002,15.875,Deadline1300ms
0.0,2003,-16.375,Deadline1300ms
50.0,2003,-26.555555555555557,Deadline1300ms
100.0,2003,-54.0,Deadline1300ms
150.0,2003,,Deadline1300ms
200.0,2003,,Deadline1300ms
0.0,2004,,Deadline1300ms
50.0,2004,,Deadline1300ms
100.0,2004,,Deadline1300ms
150.0,2004,,Deadline1300ms
200.0,2004,-21.285714285714285,Deadline1300ms
0.0,2005,122.5,Deadline1300ms
50.0,2005,6.7142857142857135,Deadline1300ms
100.0,2005,-71.83333333333333,Deadline1300ms
150.0,2005,-13.666666666666664,Deadline1300ms
200.0,2005,-17.928571428571427,Deadline1300ms
0.0,2006,-35.0,Deadline1300ms
50.0,2006,-6.777777777777778,Deadline1300ms
100.0,2006,21.875,Deadline1300ms
150.0,2006,-9.545454545454543,Deadline1300ms
200.0,2006,-64.33333333333333,Deadline1300ms
0.0,2008,1.0,Deadline1300ms
50.0,2008,8.0,Deadline1300ms
100.0,2008,-16.7,Deadline1300ms
150.0,2008,-23.5,Deadline1300ms
200.0,2008,-25.0,Deadline1300ms
0.0,2009,102.88888888888887,Deadline1300ms
50.0,2009,-15.0,Deadline1300ms
100.0,2009,-91.58333333333331,Deadline1300ms
